codneg,iq,tipo,adm,urendrs,urendpercent,urenddatapag,urenddatabase,rendmed12rs,rendmed12percent,ppc,cvp,nnegmed,ifix,ncotistas,patrimonio
SFND11,Geral,Tijolo: Escritórios,Rio Bravo Investimentos,0.6699999999999999,NA,2020-03-13,2020-03-05,0.75,NA,105.33,0,0,0,55,103376415.78
SHDP11B,Geral,Tijolo: Shoppings,BTG Pactual,8.450000000000001,NA,2020-02-20,2020-02-13,6.470000000000001,NA,1385.54,0,2,0,3,1990477552.6899998
SHOP11,Investidor Qualificado,Tijolo: Shoppings,Banco Modal S.A.,0,NA,NA,NA,0,NA,126.27,0,0,0,9,162839274.6
SHPH11,Geral,Tijolo: Shoppings,Rio Bravo Investimentos,3.6,0.37,2020-03-13,2020-02-28,3.75,0.38,787.53,1.24,786,0.8,2809,479563792.75
SNCR11,Geral,Papel: CRIs,CM Capital Markets,0.23,0.23,2020-03-09,2020-03-02,0.04,0.04,100.41000000000001,1,161,0,100,67147320.17999999
SPAF11,Investidor Qualificado,Tijolo: Shoppings,Brasil Plural S.A. Banco Múltiplo,1.81,NA,2020-03-06,2020-02-28,2.5,NA,1111.31,0,0,0,1,12524512.8
SPTW11,Geral,Tijolo: Escritórios,Geração Futuro Corretora de Valores,0.75,0.8700000000000001,2020-03-09,2020-02-28,0.71,0.8200000000000001,77.84,1.11,17813,0.19,13324,139956885.92000002
STRX11,Geral,Tijolo: Desenvolvimento,Oliveira Trust,37.06,0.23,2020-03-20,2020-02-28,22.68,0.14,18086.64,0.8700000000000001,0,0,53,278147226.55
TBOF11,Geral,Tijolo: Escritórios,BTG Pactual,0.36,0.35,2020-02-28,2020-02-17,0.31,0.31,106.79,0.9500000000000001,13378,1.45,9946,1073193549.5
TCPF11,Investidor Qualificado,Indefinido,BR-CAPITAL,1.8,NA,2020-01-15,2020-01-07,0.15000000000000002,NA,96.11,0,0,0,52,28575760.39
